CODE_CLASS,CLASS,canopygapfraction,Cmax,kext,Swood,alpha_h1,h1,h2,h3_high,h3_low,h4,Kc,rootdistpar,rootfraction
1,Permanent Pasture,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
2,Farmyard,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
3,Grass Year 4,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
4,Barley - Spring,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
5,Barley - Winter,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
6,Oats - Spring,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
7,Woodland,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
8,Forestry Ineligible,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
9,Scrub,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
10,Grass Year 3,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
11,Wheat - Winter,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
12,Oilseed Rape - Winter,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
13,Forestry Pre-2009,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
14,Beans - Spring,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
15,Extensively Grazed Pasture,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
16,Building,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
17,Bog,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
18,Maize,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
19,Habitat,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
20,Forestry Eligible,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
21,Grass Year 2,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
22,Protein/Cereal Mix 50/50,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
23,Oats - Winter,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
24,Low Input Grassland,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
25,Forestry,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
26,Winter Bird Food Plot,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
27,Grass Year 1,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
28,Lake / Waterway / Pond,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
29,Orchard,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
30,Fodder Beet,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
31,Daffodils,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
32,Wheat - Spring,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
33,Riparian Buffer Zone - Grassland,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
34,Quarry,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
35,Potatoes - Maincrop,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
36,Grass Year 5,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
37,Grass Year 1 (MSS Measure),0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
38,Farm Road,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
39,Fallow,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
40,Red Clover,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
41,Triticale - Spring,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
42,Wild Bird Cover,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
43,Forestry ESB Corridor Ineligible,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
44,Designated Habitat,0.1,1,0.23,0.3,1,0,-100,-400,-1000,-16000,1,-500,0.5
