Year,Month,Day,Hour,Minute,AirTemperature[°C],Humidity[%],SolarRadiation[W/m²],WindSpeed[m/s],Precipitation[mm],SoilTemperature[°C],PotentialEvapotranspiration[mm]
2021,1,1,0,0,4.14,97.4,0.011,0.604,0.4,3.715,0.001
2021,1,1,0,10,4.05,97.5,0.012,0.09,0.2,3.72,0
2021,1,1,0,20,4.03,97.7,0.013,0.053,0.2,3.725,0
2021,1,1,0,30,4.02,97.8,0.01,0.33,0.2,3.732,0.001
2021,1,1,0,40,4.03,98,0.009,0.232,0.2,3.738,0.001
2021,1,1,0,50,4.06,98.1,0.01,0.021,0.4,3.743,0
2021,1,1,1,0,4.03,98.2,0.005,0.006,0.2,3.75,0
2021,1,1,1,10,4.01,98.3,0.006,0,0.2,3.754,0
2021,1,1,1,20,4.1,98.4,0.01,0.172,0.2,3.761,0
2021,1,1,1,30,4.15,98.4,0.01,0.01,0,3.766,0
2021,1,1,1,40,4.15,98.5,0.012,0,0.2,3.773,0
2021,1,1,1,50,4.2,98.5,0.01,0.248,0,3.78,0
2021,1,1,2,0,4.18,98.5,0.01,0.482,0,3.786,0.001
2021,1,1,2,10,4.13,98.4,0.01,0.79,0,3.791,0.001
2021,1,1,2,20,4.07,98.3,0.013,1.208,0,3.797,0.001
2021,1,1,2,30,3.99,98.3,0.011,0.723,0,3.802,0.001
2021,1,1,2,40,3.94,98.3,0.011,1.367,0,3.809,0.001
2021,1,1,2,50,3.99,98.3,0.013,1.636,0,3.816,0.001
2021,1,1,3,0,4.06,98.2,0.01,2.046,0,3.821,0.001
2021,1,1,3,10,4.11,98.1,0.012,1.313,0,3.825,0.001
2021,1,1,3,20,4.12,97.9,0.011,1.044,0,3.831,0.001
2021,1,1,3,30,4.02,97.7,0.01,0.642,0,3.838,0.001
2021,1,1,3,40,3.93,97.6,0.014,0.737,0,3.843,0.001
2021,1,1,3,50,3.86,97.8,0.01,0.625,0,3.848,0.001
2021,1,1,4,0,3.92,97.8,0.012,0.917,0,3.853,0.001
2021,1,1,4,10,4.14,97.4,0.008,1.211,0,3.856,0.001
2021,1,1,4,20,4.06,97.1,0.011,0.448,0,3.861,0.001
